cliente,fecha,servicio,producto,ubicacion,cantidad,monto_usd,monto_pen,año,mes
Cliente D,2023-03-03 09:09:11.351,Servicio 3,Producto C,Zona Sur,18,10097.75,37866.56,2023,3
Cliente B,2023-03-04 11:27:34.054,Servicio 3,Producto C,Zona Sur,4,11392.07,42720.26,2023,3
Cliente D,2023-03-05 13:45:56.757,Servicio 2,Producto A,Zona Sur,1,11431.09,42866.59,2023,3
Cliente B,2023-03-06 16:04:19.459,Servicio 1,Producto C,Zona Centro,18,8879.42,33297.82,2023,3
Cliente B,2023-03-07 18:22:42.162,Servicio 3,Producto A,Zona Norte,1,13613.22,51049.58,2023,3
Cliente D,2023-03-08 20:41:04.865,Servicio 2,Producto A,Zona Norte,13,12352.41,46321.54,2023,3
Cliente E,2023-03-09 22:59:27.568,Servicio 1,Producto A,Zona Sur,10,11477.2,43039.5,2023,3
Cliente B,2023-03-11 01:17:50.270,Servicio 1,Producto A,Zona Sur,11,1306.28,4898.55,2023,3
Cliente B,2023-03-12 03:36:12.973,Servicio 1,Producto A,Zona Sur,9,599.73,2248.99,2023,3
Cliente D,2023-03-13 05:54:35.676,Servicio 1,Producto C,Zona Sur,9,3580.49,13426.84,2023,3
Cliente B,2023-03-14 08:12:58.378,Servicio 3,Producto B,Zona Centro,5,10121.09,37954.09,2023,3
Cliente B,2023-03-15 10:31:21.081,Servicio 3,Producto B,Zona Norte,1,6462.36,24233.85,2023,3
Cliente D,2023-03-16 12:49:43.784,Servicio 2,Producto C,Zona Sur,17,6334.89,23755.84,2023,3
Cliente D,2023-03-17 15:08:06.486,Servicio 2,Producto C,Zona Centro,2,13326.51,49974.41,2023,3
Cliente A,2023-03-18 17:26:29.189,Servicio 2,Producto B,Zona Sur,13,13485.66,50571.22,2023,3
Cliente E,2023-03-19 19:44:51.892,Servicio 1,Producto B,Zona Sur,9,13683.04,51311.4,2023,3
Cliente E,2023-03-20 22:03:14.595,Servicio 1,Producto B,Zona Norte,4,5051.23,18942.11,2023,3
Cliente B,2023-03-22 00:21:37.297,Servicio 3,Producto B,Zona Sur,5,10520.31,39451.16,2023,3
Cliente E,2023-03-23 02:40:00.000,Servicio 1,Producto B,Zona Norte,11,4438.68,16645.05,2023,3
Cliente B,2023-03-24 04:58:22.703,Servicio 1,Producto A,Zona Norte,19,3263.84,12239.4,2023,3
Cliente A,2023-03-25 07:16:45.405,Servicio 1,Producto C,Zona Norte,3,3177.17,11914.39,2023,3
Cliente D,2023-03-26 09:35:08.108,Servicio 2,Producto A,Zona Centro,12,5460.56,20477.1,2023,3
Cliente D,2023-03-27 11:53:30.811,Servicio 2,Producto B,Zona Centro,19,6734.39,25253.96,2023,3
Cliente D,2023-03-28 14:11:53.514,Servicio 3,Producto B,Zona Norte,19,12548.76,47057.85,2023,3
Cliente E,2023-03-29 16:30:16.216,Servicio 1,Producto B,Zona Sur,13,2238.42,8394.08,2023,3
Cliente A,2023-03-30 18:48:38.919,Servicio 1,Producto A,Zona Norte,7,11156.42,41836.57,2023,3
Cliente E,2023-03-31 21:07:01.622,Servicio 3,Producto A,Zona Sur,15,8206.1,30772.88,2023,3
Cliente E,2023-04-01 23:25:24.324,Servicio 1,Producto B,Zona Norte,7,4675.21,17532.04,2023,4
Cliente A,2023-04-03 01:43:47.027,Servicio 1,Producto A,Zona Sur,8,7645.88,28672.05,2023,4
Cliente A,2023-04-04 04:02:09.730,Servicio 2,Producto A,Zona Centro,5,4849.16,18184.35,2023,4
Cliente A,2023-04-05 06:20:32.432,Servicio 3,Producto B,Zona Sur,14,9143.19,34286.96,2023,4
Cliente A,2023-04-06 08:38:55.135,Servicio 3,Producto A,Zona Norte,4,6790.74,25465.28,2023,4
Cliente D,2023-04-07 10:57:17.838,Servicio 3,Producto C,Zona Centro,10,2883.88,10814.55,2023,4
Cliente C,2023-04-08 13:15:40.541,Servicio 3,Producto C,Zona Sur,15,2190.45,8214.19,2023,4
Cliente C,2023-04-09 15:34:03.243,Servicio 2,Producto C,Zona Sur,18,8427.09,31601.59,2023,4
Cliente A,2023-04-10 17:52:25.946,Servicio 2,Producto C,Zona Sur,13,13584.99,50943.71,2023,4
Cliente C,2023-04-11 20:10:48.649,Servicio 1,Producto B,Zona Sur,8,5487.39,20577.71,2023,4
Cliente C,2023-04-12 22:29:11.351,Servicio 1,Producto B,Zona Sur,9,11128.5,41731.88,2023,4
Cliente A,2023-04-14 00:47:34.054,Servicio 1,Producto B,Zona Centro,16,10050.59,37689.71,2023,4
Cliente C,2023-04-15 03:05:56.757,Servicio 1,Producto C,Zona Centro,19,14007.55,52528.31,2023,4
Cliente E,2023-04-16 05:24:19.459,Servicio 2,Producto C,Zona Centro,16,12404.22,46515.82,2023,4
Cliente B,2023-04-17 07:42:42.162,Servicio 3,Producto A,Zona Centro,7,8715.78,32684.18,2023,4
Cliente B,2023-04-18 10:01:04.865,Servicio 2,Producto A,Zona Norte,14,10026.94,37601.02,2023,4
Cliente A,2023-04-19 12:19:27.568,Servicio 1,Producto C,Zona Centro,14,13526.6,50724.75,2023,4
Cliente D,2023-04-20 14:37:50.270,Servicio 2,Producto C,Zona Sur,4,6293.02,23598.82,2023,4
Cliente A,2023-04-21 16:56:12.973,Servicio 3,Producto C,Zona Sur,15,5238.52,19644.45,2023,4
Cliente D,2023-04-22 19:14:35.676,Servicio 3,Producto C,Zona Centro,3,656.76,2462.85,2023,4
Cliente B,2023-04-23 21:32:58.378,Servicio 2,Producto A,Zona Sur,5,12484.99,46818.71,2023,4
Cliente A,2023-04-24 23:51:21.081,Servicio 2,Producto C,Zona Centro,1,12114.22,45428.32,2023,4
Cliente E,2023-04-26 02:09:43.784,Servicio 2,Producto A,Zona Sur,3,2014.59,7554.71,2023,4
Cliente C,2023-04-27 04:28:06.486,Servicio 1,Producto C,Zona Norte,15,8864.43,33241.61,2023,4
Cliente D,2023-04-28 06:46:29.189,Servicio 2,Producto C,Zona Norte,8,7227.73,27103.99,2023,4
Cliente C,2023-04-29 09:04:51.892,Servicio 2,Producto C,Zona Centro,4,2221.28,8329.8,2023,4
Cliente C,2023-04-30 11:23:14.595,Servicio 2,Producto A,Zona Centro,2,14718.24,55193.4,2023,4
Cliente A,2023-05-01 13:41:37.297,Servicio 3,Producto A,Zona Centro,10,3613.09,13549.09,2023,5
Cliente C,2023-05-02 16:00:00.000,Servicio 3,Producto B,Zona Sur,4,1474.9,5530.88,2023,5
Cliente E,2023-05-03 18:18:22.703,Servicio 1,Producto C,Zona Centro,3,9125.29,34219.84,2023,5
Cliente C,2023-05-04 20:36:45.405,Servicio 1,Producto B,Zona Norte,2,11213.57,42050.89,2023,5
Cliente A,2023-05-05 22:55:08.108,Servicio 3,Producto B,Zona Sur,17,970.43,3639.11,2023,5
Cliente E,2023-05-07 01:13:30.811,Servicio 3,Producto A,Zona Centro,13,10051.41,37692.79,2023,5
Cliente B,2023-05-08 03:31:53.514,Servicio 3,Producto A,Zona Sur,5,8218.23,30818.36,2023,5
Cliente C,2023-05-09 05:50:16.216,Servicio 2,Producto B,Zona Sur,9,1997.34,7490.02,2023,5
Cliente A,2023-05-10 08:08:38.919,Servicio 2,Producto C,Zona Centro,6,3001.6,11256.0,2023,5
Cliente B,2023-05-11 10:27:01.622,Servicio 3,Producto A,Zona Sur,5,8735.63,32758.61,2023,5
Cliente B,2023-05-12 12:45:24.324,Servicio 2,Producto C,Zona Norte,10,4797.19,17989.46,2023,5
Cliente D,2023-05-13 15:03:47.027,Servicio 2,Producto C,Zona Norte,8,14105.58,52895.92,2023,5
Cliente E,2023-05-14 17:22:09.730,Servicio 1,Producto B,Zona Sur,7,12371.73,46393.99,2023,5
Cliente C,2023-05-15 19:40:32.432,Servicio 3,Producto B,Zona Centro,7,14761.72,55356.45,2023,5
Cliente A,2023-05-16 21:58:55.135,Servicio 3,Producto B,Zona Sur,6,4265.23,15994.61,2023,5
Cliente D,2023-05-18 00:17:17.838,Servicio 2,Producto B,Zona Norte,3,14560.99,54603.71,2023,5
Cliente E,2023-05-19 02:35:40.541,Servicio 3,Producto A,Zona Sur,19,6752.89,25323.34,2023,5
Cliente D,2023-05-20 04:54:03.243,Servicio 1,Producto A,Zona Sur,15,5539.02,20771.32,2023,5
Cliente E,2023-05-21 07:12:25.946,Servicio 1,Producto B,Zona Norte,4,1230.07,4612.76,2023,5
Cliente E,2023-05-22 09:30:48.649,Servicio 1,Producto A,Zona Sur,12,1265.1,4744.12,2023,5
Cliente C,2023-05-23 11:49:11.351,Servicio 3,Producto B,Zona Sur,6,10534.16,39503.1,2023,5
Cliente E,2023-05-24 14:07:34.054,Servicio 3,Producto C,Zona Centro,19,7139.97,26774.89,2023,5
Cliente D,2023-05-25 16:25:56.757,Servicio 3,Producto C,Zona Centro,4,3784.56,14192.1,2023,5
Cliente E,2023-05-26 18:44:19.459,Servicio 3,Producto C,Zona Norte,15,9402.57,35259.64,2023,5
Cliente C,2023-05-27 21:02:42.162,Servicio 3,Producto B,Zona Norte,9,4166.44,15624.15,2023,5
Cliente C,2023-05-28 23:21:04.865,Servicio 1,Producto C,Zona Norte,5,8875.66,33283.72,2023,5
Cliente D,2023-05-30 01:39:27.568,Servicio 2,Producto A,Zona Centro,13,5708.53,21406.99,2023,5
Cliente B,2023-05-31 03:57:50.270,Servicio 1,Producto C,Zona Norte,18,12441.51,46655.66,2023,5
Cliente B,2023-06-01 06:16:12.973,Servicio 3,Producto C,Zona Norte,5,12400.09,46500.34,2023,6
Cliente E,2023-06-02 08:34:35.676,Servicio 1,Producto C,Zona Norte,16,7421.58,27830.92,2023,6
Cliente A,2023-06-03 10:52:58.378,Servicio 3,Producto A,Zona Centro,19,5586.88,20950.8,2023,6
Cliente E,2023-06-04 13:11:21.081,Servicio 3,Producto B,Zona Sur,14,5757.12,21589.2,2023,6
Cliente D,2023-06-05 15:29:43.784,Servicio 1,Producto A,Zona Norte,16,12182.86,45685.73,2023,6
Cliente D,2023-06-06 17:48:06.486,Servicio 3,Producto B,Zona Sur,15,5258.6,19719.75,2023,6
Cliente D,2023-06-07 20:06:29.189,Servicio 2,Producto B,Zona Norte,4,3531.36,13242.6,2023,6
Cliente D,2023-06-08 22:24:51.892,Servicio 3,Producto C,Zona Sur,7,1727.98,6479.92,2023,6
Cliente D,2023-06-10 00:43:14.595,Servicio 2,Producto B,Zona Centro,16,7267.05,27251.44,2023,6
Cliente C,2023-06-11 03:01:37.297,Servicio 2,Producto A,Zona Centro,8,7490.92,28090.95,2023,6
Cliente B,2023-06-12 05:20:00.000,Servicio 3,Producto A,Zona Norte,17,12693.18,47599.42,2023,6
Cliente D,2023-06-13 07:38:22.703,Servicio 1,Producto B,Zona Sur,16,3707.96,13904.85,2023,6
Cliente A,2023-06-14 09:56:45.405,Servicio 2,Producto C,Zona Centro,10,6024.37,22591.39,2023,6
Cliente A,2023-06-15 12:15:08.108,Servicio 1,Producto C,Zona Norte,10,12221.88,45832.05,2023,6
Cliente A,2023-06-16 14:33:30.811,Servicio 2,Producto A,Zona Norte,2,12442.54,46659.52,2023,6
Cliente A,2023-06-17 16:51:53.514,Servicio 3,Producto C,Zona Centro,9,6076.86,22788.22,2023,6
Cliente C,2023-06-18 19:10:16.216,Servicio 3,Producto B,Zona Centro,17,7157.3,26839.88,2023,6
Cliente A,2023-06-19 21:28:38.919,Servicio 2,Producto B,Zona Norte,11,4897.65,18366.19,2023,6
Cliente D,2023-06-20 23:47:01.622,Servicio 3,Producto A,Zona Sur,10,14022.05,52582.69,2023,6
Cliente E,2023-06-22 02:05:24.324,Servicio 2,Producto B,Zona Sur,17,2220.33,8326.24,2023,6
Cliente A,2023-06-23 04:23:47.027,Servicio 3,Producto A,Zona Sur,4,14039.37,52647.64,2023,6
Cliente C,2023-06-24 06:42:09.730,Servicio 1,Producto B,Zona Norte,16,10416.06,39060.22,2023,6
Cliente C,2023-06-25 09:00:32.432,Servicio 3,Producto A,Zona Centro,15,8207.8,30779.25,2023,6
Cliente A,2023-06-26 11:18:55.135,Servicio 1,Producto C,Zona Norte,5,973.56,3650.85,2023,6
Cliente E,2023-06-27 13:37:17.838,Servicio 3,Producto B,Zona Centro,6,7396.14,27735.52,2023,6
Cliente A,2023-06-28 15:55:40.541,Servicio 1,Producto B,Zona Sur,17,6412.35,24046.31,2023,6
Cliente C,2023-06-29 18:14:03.243,Servicio 3,Producto A,Zona Sur,1,2837.67,10641.26,2023,6
Cliente B,2023-06-30 20:32:25.946,Servicio 1,Producto A,Zona Centro,19,10017.94,37567.28,2023,6
Cliente D,2023-07-01 22:50:48.649,Servicio 2,Producto B,Zona Centro,4,14581.69,54681.34,2023,7
Cliente C,2023-07-03 01:09:11.351,Servicio 2,Producto A,Zona Norte,17,8651.74,32444.02,2023,7
Cliente A,2023-07-04 03:27:34.054,Servicio 1,Producto B,Zona Sur,9,10863.92,40739.7,2023,7
Cliente D,2023-07-05 05:45:56.757,Servicio 3,Producto C,Zona Norte,2,1492.53,5596.99,2023,7
Cliente A,2023-07-06 08:04:19.459,Servicio 1,Producto A,Zona Norte,8,6556.17,24585.64,2023,7
Cliente A,2023-07-07 10:22:42.162,Servicio 3,Producto B,Zona Norte,15,2187.2,8202.0,2023,7
Cliente B,2023-07-08 12:41:04.865,Servicio 2,Producto C,Zona Sur,7,9385.54,35195.78,2023,7
Cliente D,2023-07-09 14:59:27.568,Servicio 3,Producto C,Zona Norte,6,14107.99,52904.96,2023,7
Cliente D,2023-07-10 17:17:50.270,Servicio 2,Producto B,Zona Norte,1,10095.78,37859.18,2023,7
Cliente B,2023-07-11 19:36:12.973,Servicio 3,Producto A,Zona Norte,15,1613.64,6051.15,2023,7
Cliente C,2023-07-12 21:54:35.676,Servicio 3,Producto B,Zona Norte,7,5642.66,21159.98,2023,7
Cliente A,2023-07-14 00:12:58.378,Servicio 3,Producto C,Zona Norte,17,8484.62,31817.33,2023,7
Cliente E,2023-07-15 02:31:21.081,Servicio 1,Producto B,Zona Norte,2,6346.51,23799.41,2023,7
Cliente A,2023-07-16 04:49:43.784,Servicio 1,Producto A,Zona Sur,9,12587.84,47204.4,2023,7
Cliente A,2023-07-17 07:08:06.486,Servicio 2,Producto C,Zona Norte,9,12312.73,46172.74,2023,7
Cliente C,2023-07-18 09:26:29.189,Servicio 2,Producto B,Zona Centro,13,9371.55,35143.31,2023,7
Cliente A,2023-07-19 11:44:51.892,Servicio 1,Producto A,Zona Norte,6,5915.14,22181.78,2023,7
Cliente B,2023-07-20 14:03:14.595,Servicio 2,Producto C,Zona Norte,6,4202.38,15758.92,2023,7
Cliente B,2023-07-21 16:21:37.297,Servicio 1,Producto A,Zona Sur,3,2035.18,7631.92,2023,7
Cliente D,2023-07-22 18:40:00.000,Servicio 3,Producto C,Zona Sur,17,5646.02,21172.58,2023,7
Cliente E,2023-07-23 20:58:22.703,Servicio 2,Producto B,Zona Centro,17,6491.0,24341.25,2023,7
Cliente A,2023-07-24 23:16:45.405,Servicio 2,Producto A,Zona Centro,12,10299.43,38622.86,2023,7
Cliente A,2023-07-26 01:35:08.108,Servicio 1,Producto C,Zona Sur,16,10043.32,37662.45,2023,7
Cliente C,2023-07-27 03:53:30.811,Servicio 2,Producto A,Zona Sur,15,1516.57,5687.14,2023,7
Cliente B,2023-07-28 06:11:53.514,Servicio 2,Producto A,Zona Norte,13,6231.26,23367.22,2023,7
Cliente E,2023-07-29 08:30:16.216,Servicio 3,Producto B,Zona Sur,1,3135.79,11759.21,2023,7
Cliente D,2023-07-30 10:48:38.919,Servicio 2,Producto A,Zona Centro,17,2773.78,10401.68,2023,7
Cliente B,2023-07-31 13:07:01.622,Servicio 3,Producto C,Zona Norte,3,12495.88,46859.55,2023,7
Cliente D,2023-08-01 15:25:24.324,Servicio 1,Producto C,Zona Centro,15,1107.77,4154.14,2023,8
Cliente C,2023-08-02 17:43:47.027,Servicio 2,Producto C,Zona Norte,4,6578.15,24668.06,2023,8
Cliente C,2023-08-03 20:02:09.730,Servicio 3,Producto C,Zona Sur,4,2938.95,11021.06,2023,8
Cliente A,2023-08-04 22:20:32.432,Servicio 1,Producto B,Zona Centro,18,13250.29,49688.59,2023,8
Cliente E,2023-08-06 00:38:55.135,Servicio 2,Producto A,Zona Norte,17,8577.09,32164.09,2023,8
Cliente D,2023-08-07 02:57:17.838,Servicio 1,Producto B,Zona Norte,19,3855.02,14456.32,2023,8
Cliente B,2023-08-08 05:15:40.541,Servicio 2,Producto A,Zona Sur,11,7785.2,29194.5,2023,8
Cliente C,2023-08-09 07:34:03.243,Servicio 1,Producto A,Zona Sur,3,11106.55,41649.56,2023,8
Cliente A,2023-08-10 09:52:25.946,Servicio 1,Producto A,Zona Sur,8,14392.71,53972.66,2023,8
Cliente A,2023-08-11 12:10:48.649,Servicio 3,Producto B,Zona Centro,14,3696.47,13861.76,2023,8
Cliente D,2023-08-12 14:29:11.351,Servicio 1,Producto A,Zona Norte,1,13349.64,50061.15,2023,8
Cliente C,2023-08-13 16:47:34.054,Servicio 2,Producto B,Zona Sur,14,14047.41,52677.79,2023,8
Cliente E,2023-08-14 19:05:56.757,Servicio 2,Producto C,Zona Centro,2,13788.1,51705.38,2023,8
Cliente C,2023-08-15 21:24:19.459,Servicio 3,Producto C,Zona Centro,4,9713.51,36425.66,2023,8
Cliente D,2023-08-16 23:42:42.162,Servicio 2,Producto A,Zona Centro,19,9632.4,36121.5,2023,8
Cliente D,2023-08-18 02:01:04.865,Servicio 2,Producto B,Zona Sur,6,6346.55,23799.56,2023,8
Cliente C,2023-08-19 04:19:27.568,Servicio 2,Producto C,Zona Sur,1,11409.77,42786.64,2023,8
Cliente D,2023-08-20 06:37:50.270,Servicio 1,Producto B,Zona Norte,17,8203.76,30764.1,2023,8
Cliente C,2023-08-21 08:56:12.973,Servicio 1,Producto B,Zona Norte,8,10322.85,38710.69,2023,8
Cliente B,2023-08-22 11:14:35.676,Servicio 2,Producto A,Zona Sur,19,6712.64,25172.4,2023,8
Cliente C,2023-08-23 13:32:58.378,Servicio 3,Producto C,Zona Centro,1,11106.7,41650.12,2023,8
Cliente C,2023-08-24 15:51:21.081,Servicio 1,Producto A,Zona Centro,5,12454.84,46705.65,2023,8
Cliente D,2023-08-25 18:09:43.784,Servicio 3,Producto A,Zona Centro,16,2623.33,9837.49,2023,8
Cliente D,2023-08-26 20:28:06.486,Servicio 2,Producto C,Zona Norte,6,12577.48,47165.55,2023,8
Cliente A,2023-08-27 22:46:29.189,Servicio 2,Producto C,Zona Centro,8,8334.3,31253.62,2023,8
Cliente A,2023-08-29 01:04:51.892,Servicio 1,Producto B,Zona Norte,13,12747.66,47803.72,2023,8
Cliente B,2023-08-30 03:23:14.595,Servicio 2,Producto C,Zona Norte,16,6753.87,25327.01,2023,8
Cliente A,2023-08-31 05:41:37.297,Servicio 1,Producto B,Zona Centro,3,5996.09,22485.34,2023,8
Cliente C,2023-09-01 08:00:00.000,Servicio 2,Producto B,Zona Centro,19,13768.38,51631.42,2023,9
Cliente D,2023-09-02 10:18:22.703,Servicio 2,Producto B,Zona Sur,12,4141.95,15532.31,2023,9
Cliente A,2023-09-03 12:36:45.405,Servicio 1,Producto C,Zona Sur,16,12741.08,47779.05,2023,9
Cliente A,2023-09-04 14:55:08.108,Servicio 1,Producto A,Zona Centro,11,7518.3,28193.62,2023,9
Cliente B,2023-09-05 17:13:30.811,Servicio 1,Producto B,Zona Norte,10,7954.38,29828.92,2023,9
Cliente B,2023-09-06 19:31:53.514,Servicio 2,Producto A,Zona Norte,4,4972.79,18647.96,2023,9
Cliente C,2023-09-07 21:50:16.216,Servicio 2,Producto A,Zona Norte,12,8809.11,33034.16,2023,9
Cliente D,2023-09-09 00:08:38.919,Servicio 3,Producto C,Zona Norte,2,5215.56,19558.35,2023,9
Cliente B,2023-09-10 02:27:01.622,Servicio 1,Producto A,Zona Norte,19,1069.41,4010.29,2023,9
Cliente A,2023-09-11 04:45:24.324,Servicio 2,Producto A,Zona Sur,5,4443.98,16664.92,2023,9
Cliente D,2023-09-12 07:03:47.027,Servicio 2,Producto C,Zona Centro,8,592.5,2221.88,2023,9
Cliente D,2023-09-13 09:22:09.730,Servicio 1,Producto B,Zona Sur,7,14686.14,55073.02,2023,9
Cliente A,2023-09-14 11:40:32.432,Servicio 3,Producto A,Zona Norte,14,14503.33,54387.49,2023,9
Cliente B,2023-09-15 13:58:55.135,Servicio 1,Producto C,Zona Norte,3,6229.75,23361.56,2023,9
Cliente A,2023-09-16 16:17:17.838,Servicio 3,Producto A,Zona Norte,18,11061.38,41480.17,2023,9
Cliente D,2023-09-17 18:35:40.541,Servicio 2,Producto A,Zona Norte,16,5514.19,20678.21,2023,9
Cliente E,2023-09-18 20:54:03.243,Servicio 3,Producto B,Zona Centro,19,10230.85,38365.69,2023,9
Cliente E,2023-09-19 23:12:25.946,Servicio 2,Producto A,Zona Norte,19,12178.74,45670.28,2023,9
Cliente C,2023-09-21 01:30:48.649,Servicio 1,Producto C,Zona Centro,18,14227.97,53354.89,2023,9
Cliente A,2023-09-22 03:49:11.351,Servicio 1,Producto A,Zona Norte,16,6303.08,23636.55,2023,9
Cliente A,2023-09-23 06:07:34.054,Servicio 1,Producto B,Zona Centro,8,11857.82,44466.82,2023,9
Cliente C,2023-09-24 08:25:56.757,Servicio 3,Producto B,Zona Sur,1,4355.96,16334.85,2023,9
